Mês;Abacate;Abacaxi;Abobrinha;Acém;Alcatra;Alface;Alho;Alimentação no domicílio;Alimento infantil;Arroz;Atomatado;Atum em conserva;Azeite de oliva;Azeitona;Açaí (emulsão);Açúcar cristal;Açúcar demerara;Açúcar refinado;Bacalhau;Balas;Banana - d'água;Banana - maçã;Banana - prata;Banana-da-terra;Batata-doce;Batata-inglesa;Biscoito;Bolo;Brócolis;Cafezinho;Café moído;Café solúvel;Caldo concentrado;Caldo de tucupi;Camarão;Capa de filé;Caranguejo;Carne de carneiro;Carne de porco;Carne de porco salgada e defumada;Carne-seca e de sol;Cebola;Cenoura;Cerveja;Cheiro-verde;Chocolate e achocolatado em pó;Chocolate em barra e bombom;Chá mate (erva mate);Chã de dentro;Coentro;Colorau;Contrafilé;Costela;Couve;Couve-flor;Cupim;Doce de frutas em pasta;Doces;Farinha de arroz;Farinha de mandioca;Farinha de trigo;Feijão - carioca (rajado);Feijão - macáçar (fradinho);Feijão - mulatinho;Feijão - preto;Fermento;Filé-mignon;Flocos de milho;Frango em pedaços;Frango inteiro;Fubá de milho;Fígado;Goiaba;Inhame;Iogurte e bebidas lácteas;Lagarto comum;Lagarto redondo;Lanche;Laranja - baía;Laranja - lima;Laranja - pera;Leite condensado;Leite de coco;Leite em pó;Leite fermentado;Leite longa vida;Limão;Linguiça;Macarrão;Macarrão instantâneo;Maionese;Mamão;Mandioca (aipim);Manga;Manteiga;Maracujá;Margarina;Massa semipreparada;Maçã;Melancia;Melão;Milho (em grão);Milho-verde em conserva;Morango;Mortadela;Músculo;Outras bebidas alcoólicas;Ovo de galinha;Palmito em conserva;Patinho;Peito;Peixe - anchova;Peixe - aruanã;Peixe - castanha;Peixe - cavala;Peixe - cação;Peixe - corvina;Peixe - curimatã;Peixe - dourada;Peixe - filhote;Peixe - merluza;Peixe - palombeta;Peixe - peroá;Peixe - pescada;Peixe - pintado;Peixe - salmão;Peixe - sardinha;Peixe - serra;Peixe - tainha;Peixe - tambaqui;Peixe - tilápia;Pepino;Pepino em conserva;Pera;Picanha;Pimentão;Polpa de fruta (congelada);Presunto;Pá;Pão de forma;Pão de queijo;Pão doce;Pão francês;Queijo;Refeição;Refrigerante e água mineral;Repolho;Requeijão;Sal;Salame;Salsicha;Salsicha em conserva;Sardinha em conserva;Sopa desidratada;Sorvete;Suco de frutas;Suco em pó;Tangerina;Tempero misto;Tomate;Tubérculos, raízes e legumes;Uva;Vinagre;Vinho;Óleo de soja;Total_inflacao;Alimento_mais_inflacionado
2023-01;0,0;0,0;44,05;-2,45;-1,78;11,38;-0,65;0,71;0,0;2,44;0,1;0,07;1,19;1,74;0,0;0,0;0,0;-0,27;0,0;0,0;-0,87;0,0;2,83;0,0;8,3;12,4;-0,67;2,33;9,21;1,39;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-2,99;0,0;0,0;-18,17;11,51;-0,46499999999999997;6,57;1,84;1,66;0,0;-1,21;0,0;0,0;0,7;0,8;5,28;0,0;0,0;0,0;0,0;0,0;2,28;2,93;3,48;0,0;0,0;0,0;0,0;0,0;0,0;-1,0;-1,04;0,0;0,0;0,0;0,0;2,15;-1,34;0,0;1,74;0,0;0,0;6,56;0,0;0,0;0,17;0,0;0,56;-41,18;-0,32;0,97;1,01;1,95;9,3;0,0;4,66;0,0;0,0;1,86;0,09;6,28;0,0;0,0;0,0;-2,47;0,0;-2,98;-1,05;0,0;2,88;0,31;0,32;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;1,18;0,0;0,0;0,25;0,0;-0,91;0,0;0,0;0,0;0,0;-0,42;0,0;0,0;9,05;0,0;-5,15;0,0;-0,34;-2,37;1,07;0,0;-0,63;1,05;0,27;0,62;1,04;0,5;-0,36;0,0;0,0;-0,57;0,0;-0,06;0,0;-0,83;1,16;-1,13;20,7;-2,51;0,95;1,47;-4,74;-0,66;-0,465;-0,26;114,38000000000004;Abobrinha
2023-02;0,0;0,0;13,6;-3,05;-2,59;9,64;-1,59;0,28;0,0;1,11;0,11;0,9;-0,25;1,22;0,0;0,0;0,0;-0,06;0,0;0,0;-3,02;0,0;3,54;0,0;-4,8;-7,72;0,87;1,12;10,17;0,48;-0,84;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,42;0,0;0,0;-3,25;15,85;1,125;6,37;0,71;-0,22;0,0;-0,63;0,0;0,0;-1,63;-2,11;11,82;0,0;0,0;0,0;0,0;0,0;1,05;0,87;1,19;0,0;0,0;0,0;0,0;0,0;0,0;-1,61;-2,58;0,0;0,0;0,0;0,0;0,53;0,82;0,0;0,42;0,0;0,0;3,54;0,0;0,0;-0,7;0,0;4,61;-15,62;1,9;0,85;1,77;0,03;15,08;0,0;7,45;0,0;0,0;-1,1;1,33;4,58;0,0;0,0;0,0;3,44;0,0;0,0;-0,44;0,0;0,52;1,44;-0,54;0,0;0,0;0,0;0,0;0,0;-0,7;0,0;0,0;0,0;0,0;-1,0;0,0;0,0;-0,84;0,0;1,55;0,0;0,0;0,0;0,0;0,82;0,0;0,0;-6,53;0,0;-7,79;0,0;-2,11;0,53;2,53;0,0;1,64;0,14;3,46;0,5;1,355;11,85;0,53;0,0;0,0;0,37;0,0;-0,21;0,0;0,9650000000000001;0,23;1,9;-6,73;3,03;-14,91;-7,14;-3,36;-1,35;0,845;-3,66;53,31999999999998;Cenoura
2023-03;0,0;0,0;13,25;1,1;-1,87;7,24;-0,45;0,02;0,0;1,2;0,95;0,29;2,13;-1,42;0,0;0,0;0,0;0,19;0,0;0,0;1,57;0,0;0,54;0,0;5,14;-12,73;1,23;3,81;6,77;-0,54;-2,31;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,34;0,0;0,0;-6,36;20,13;-0,020000000000000018;12,76;0,35;-2,49;0,0;-0,91;0,0;0,0;-3,84;-1,24;9,14;0,0;0,0;0,0;0,0;0,0;1,22;-0,43;0,02;0,0;0,0;0,0;0,0;0,0;0,0;-1,63;3,03;0,0;0,0;0,0;0,0;0,82;-1,18;0,0;0,68;0,0;0,0;5,15;0,0;0,0;1,57;0,0;-0,56;16,86;0,14;-0,69;-2,65;1,03;11,37;0,0;29,63;0,0;0,0;-0,62;-4,01;-7,73;0,0;0,0;0,0;0,42;0,0;-1,99;-1,12;0,0;6,37;0,16;-2,61;0,0;0,0;0,0;0,0;0,0;0,11;0,0;0,0;0,0;0,0;0,02;0,0;0,0;1,27;0,0;2,62;0,0;0,0;0,0;0,0;2,56;0,0;0,0;-9,01;0,0;1,76;0,0;1,07;-5,19;0,36;0,0;1,94;0,12;-2,34;0,14;-0,4099999999999999;11,62;-0,46;0,0;0,0;-0,1;0,0;-1,65;0,0;1,0;1,77;1,13;-15,49;1,07;0,48;-1,99;12,99;2,39;-0,8;-2,59;110,92999999999999;Manga
2023-04;0,0;0,0;-3,08;-1,79;-2,82;0,69;-1,01;1,11;0,0;-0,69;1,42;2,27;0,54;0,1;0,0;0,0;0,0;1,41;0,0;0,0;-1,2;0,0;-6,64;0,0;16,59;2,67;1,09;3,17;-1,06;1,41;0,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,77;0,0;0,0;-5,12;-0,55;2,22;7,37;0,19;-0,1;0,0;-0,51;0,0;0,0;-0,85;1,8;2,0;0,0;0,0;0,0;0,0;0,0;2,45;0,76;2,67;0,0;0,0;0,0;0,0;0,0;0,0;-2,27;0,6;0,0;0,0;0,0;0,0;-0,44;-0,86;0,0;1,38;0,0;0,0;-4,64;0,0;0,0;0,31;0,0;6,54;14,18;-1,78;1,59;0,82;2,29;-3,04;0,0;8,94;0,0;0,0;-2,06;0,38;-2,9;0,0;0,0;0,0;0,84;0,0;0,47;-0,36;0,0;2,69;1,2;0,86;0,0;0,0;0,0;0,0;0,0;-0,77;0,0;0,0;0,0;0,0;-0,8;0,0;0,0;-0,71;0,0;-0,9;0,0;0,0;0,0;0,0;4,21;0,0;0,0;-7,44;0,0;18,68;0,0;1,45;0,33;0,91;0,0;-3,94;1,52;3,31;0,46;0,84;1,66;1,61;0,0;0,0;2,2;0,0;-1,92;0,0;3,69;0,09;1,62;13,9;-1,82;15,64;7,1;7,53;2,08;0,19;-4,06;119,85000000000001;Pimentão
2023-05;0,0;0,0;-7,61;-1,9;0,92;-2,03;3,5;0,23;0,0;1,47;0,01;-0,09;1,81;0,61;0,0;0,0;0,0;-0,35;0,0;0,0;-1,01;0,0;0,04;0,0;2,38;0,18;0,34;-0,01;1,47;1,25;-0,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,84;0,0;0,0;-1,93;-3,35;0,55;-5,03;1,97;2,8;0,0;0,44;0,0;0,0;-2,76;-2,16;-0,01;0,0;0,0;0,0;0,0;0,0;0,77;-1,31;1,96;0,0;0,0;0,0;0,0;0,0;0,0;-0,01;-0,58;0,0;0,0;0,0;0,0;0,77;0,74;0,0;1,2;0,0;0,0;-1,63;0,0;0,0;-0,98;0,0;3,35;-21,37;1,29;0,19;0,98;2,46;-10,34;0,0;-3,62;0,0;0,0;-1,21;2,98;-2,74;0,0;0,0;0,0;-0,68;0,0;2,14;-0,82;0,0;0,23;0,28;-0,39;0,0;0,0;0,0;0,0;0,0;-0,49;0,0;0,0;0,0;0,0;-0,58;0,0;0,0;0,15;0,0;2,73;0,0;0,0;0,0;0,0;1,51;0,0;0,0;-1,81;0,0;-4,2;0,0;-0,64;0,39;1,63;0,0;4,0;1,4;2,66;0,66;0,0;-2,57;1,89;0,0;0,0;-0,71;0,0;2,41;0,0;1,335;0,35;0,48;-7,37;2,93;5,21;0,67;-4,59;0,47;0,305;-5,44;-32,740000000000016;Tomate
2023-06;0,0;0,0;-14,3;1,8;0,02;-5,34;3,25;-1,1;0,0;-0,63;2,08;1,7;-0,44;2,7;0,0;0,0;0,0;2,13;0,0;0,0;-5,18;0,0;-4,62;0,0;-6,84;5,1;1,63;1,67;-5,14;-0,06;0,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-3,59;0,0;0,0;-1,78;-5,67;0,36;-5,48;0,82;-0,7;0,0;-1,56;0,0;0,0;-3,29;-0,29;-0,61;0,0;0,0;0,0;0,0;0,0;0,14;1,81;-5,58;0,0;0,0;0,0;0,0;0,0;0,0;0,24;-2,35;0,0;0,0;0,0;0,0;-1,11;-3,11;0,0;0,54;0,0;0,0;-2,64;0,0;0,0;2,47;0,0;-3,41;0,46;-0,13;2,08;3,5;-0,5;0,25;0,0;-6,66;0,0;0,0;-1,82;0,03;-0,95;0,0;0,0;0,0;-0,27;0,0;1,84;-0,26;0,0;1,97;3,48;-2,32;0,0;0,0;0,0;0,0;0,0;-1,21;0,0;0,0;0,0;0,0;0,78;0,0;0,0;1,09;0,0;-2,95;0,0;0,0;0,0;0,0;1,45;0,0;0,0;3,28;0,0;-0,79;0,0;0,65;-1,59;-1,11;0,0;1,06;-2,68;-1,77;0,48;-0,315;-0,6;0,12;0,0;0,0;0,43;0,0;-0,33;0,0;1,9;0,91;1,72;-5,21;-1,35;-2,44;-1,59;-6,41;1,98;0,885;-8,95;-77,5;Batata-inglesa
2023-07;0,0;0,0;-22,83;-3,65;-5,36;1,02;-1,47;-0,73;0,0;-0,92;0,56;2,19;4,11;-2,85;0,0;0,0;0,0;0,62;0,0;0,0;2,65;0,0;4,75;0,0;-4,28;-2,95;1,36;0,11;-6,98;-0,69;-2,06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-1,8;0,0;0,0;4,18;3,04;0,17000000000000004;-4,72;-1,92;2,09;0,0;-2,39;0,0;0,0;-1,36;-0,55;-4,48;0,0;0,0;0,0;0,0;0,0;1,14;-1,64;-11,5;0,0;0,0;0,0;0,0;0,0;0,0;-2,46;-2,35;0,0;0,0;0,0;0,0;-0,57;-1,29;0,0;0,58;0,0;0,0;-2,42;0,0;0,0;-0,96;0,0;-2,38;19,15;-2,45;-0,75;0,6;-1,38;1,33;0,0;-2,39;0,0;0,0;0,17;1,7;2,82;0,0;0,0;0,0;-2,45;0,0;0,83;-2,19;0,0;0,19;0,64;-3,16;0,0;0,0;0,0;0,0;0,0;-0,85;0,0;0,0;0,0;0,0;-0,22;0,0;0,0;-3,37;0,0;-0,68;0,0;0,0;0,0;0,0;-2,65;0,0;0,0;8,49;0,0;2,51;0,0;-0,34;-0,27;-0,42;0,0;1,36;1,19;1,64;-0,02;0,43;0,88;-0,34;0,0;0,0;-0,38;0,0;-0,57;0,0;-1,185;3,69;-0,6;0,9;5,57;-4,24;-2,44;2,89;1,71;1,1;-6,58;-49,125000000000014;Limão
2023-08;0,0;0,0;-0,09;-0,21;-4,52;-4,46;5,12;-1,03;0,0;2,08;-0,71;3,36;2,39;-0,48;0,0;0,0;0,0;-0,82;0,0;0,0;2,09;0,0;2,95;0,0;3,68;-14,45;-1,95;-2,13;-4,52;-0,56;-2,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,26;0,0;0,0;-1,49;0,77;-0,24;-3,26;1,22;1,99;0,0;-2,53;0,0;0,0;-2,47;-3,68;-7,16;0,0;0,0;0,0;0,0;0,0;-0,83;-1,24;-7,93;0,0;0,0;0,0;0,0;0,0;0,0;-2,06;-2,13;0,0;0,0;0,0;0,0;1,46;-2,93;0,0;-0,33;0,0;0,0;1,64;0,0;0,0;0,25;0,0;-3,66;51,87;2,1;0,23;-0,11;-1,43;-9,32;0,0;1,88;0,0;0,0;-2,81;-1,49;-0,54;0,0;0,0;0,0;-0,23;0,0;0,86;-2,12;0,0;-3,42;0,56;-0,76;0,0;0,0;0,0;0,0;0,0;0,93;0,0;0,0;0,0;0,0;1,35;0,0;0,0;3,46;0,0;-0,09;0,0;0,0;0,0;0,0;2,06;0,0;0,0;0,37;0,0;-4,74;0,0;1,5;-4,28;1,38;0,0;-1,74;-0,77;2,28;-0,1;0,985;-1,35;-0,21;0,0;0,0;0,65;0,0;1,46;0,0;1,135;0,44;1,67;2,91;1,21;-8,89;-6,93;1,22;-2,74;-0,345;-2,07;-25,815000000000005;Limão
2023-09;0,0;0,0;7,0;-4,52;1,23;-5,15;-1,01;-1,2;0,0;2,75;-0,95;-0,37;4,96;0,17;0,0;0,0;0,0;1,18;0,0;0,0;0,8;0,0;-4,19;0,0;1,4;-2,49;-0,76;-0,29;-4,88;0,99;-1,09;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,67;0,0;0,0;-8,28;-13,3;-1,145;0,15;-0,35;-0,21;0,0;-2,53;0,0;0,0;-3,23;-5,64;-3,3;0,0;0,0;0,0;0,0;0,0;2,18;-1,47;-6,46;0,0;0,0;0,0;0,0;0,0;0,0;-0,24;-0,81;0,0;0,0;0,0;0,0;-0,24;-1,24;0,0;0,61;0,0;0,0;-2,77;0,0;0,0;-0,24;0,0;-5,42;15,0;-2,6;-0,47;1,36;-2,11;-8,23;0,0;-0,4;0,0;0,0;-0,84;2,08;5,68;0,0;0,0;0,0;-0,44;0,0;-0,4;-4,88;0,0;-1,99;-3,05;-3,68;0,0;0,0;0,0;0,0;0,0;1,28;0,0;0,0;0,0;0,0;-2,01;0,0;0,0;-0,67;0,0;-1,41;0,0;0,0;0,0;0,0;-1,24;0,0;0,0;2,62;0,0;1,13;0,0;3,74;-2,58;-1,06;0,0;1,15;0,75;-2,08;0,33;0,135;-3,26;1,69;0,0;0,0;-2,11;0,0;-1,72;0,0;0,51;-3,28;-0,27;2,53;1,05;3,95;-1,1;2,87;0,39;-0,44;-3,02;-68,11999999999999;Limão
2023-10;0,0;0,0;4,03;-0,39;-0,69;6,4;-0,83;0,83;0,0;3,49;1,25;0,54;6,44;1,21;0,0;0,0;0,0;3,48;0,0;0,0;2,66;0,0;2,31;0,0;6,02;3,78;0,72;-0,08;4,31;1,84;-1,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,08;0,0;0,0;9,39;-0,25;2,3850000000000002;5,04;-0,62;-0,88;0,0;3,02;0,0;0,0;4,17;3,0;3,69;0,0;0,0;0,0;0,0;0,0;-0,25;0,15;-2,03;0,0;0,0;0,0;0,0;0,0;0,0;0,54;0,27;0,0;0,0;0,0;0,0;-0,58;-1,17;0,0;0,09;0,0;0,0;9,11;0,0;0,0;-0,74;0,0;-6,95;4,38;-2,19;-1,89;0,17;0,11;5,05;0,0;14,96;0,0;0,0;1,09;0,04;1,32;0,0;0,0;0,0;-0,41;0,0;1,83;1,65;0,0;-3,93;1,78;2,55;0,0;0,0;0,0;0,0;0,0;0,72;0,0;0,0;0,0;0,0;-1,04;0,0;0,0;1,88;0,0;1,54;0,0;0,0;0,0;0,0;1,4;0,0;0,0;3,66;0,0;1,43;0,0;0,13;-0,19;-0,67;0,0;1,94;1,71;-0,46;0,58;-0,255;0,9;-2,53;0,0;0,0;-0,53;0,0;0,33;0,0;0,615;1,49;-0,01;10,93;1,86;2,75;3,94;4,97;-0,34;0,52;0,05;138,535;Manga
