Mês;Arroz;Feijão - carioca (rajado);Batata-inglesa;Tomate;Cebola;Alface;Contrafilé
2023-01;2,44;3,48;12,4;0,95;-18,17;11,38;0,7
2023-02;1,11;1,19;-7,72;-14,91;-3,25;9,64;-1,63
2023-03;1,2;0,02;-12,73;0,48;-6,36;7,24;-3,84
2023-04;-0,69;2,67;2,67;15,64;-5,12;0,69;-0,85
2023-05;1,47;1,96;0,18;5,21;-1,93;-2,03;-2,76
2023-06;-0,63;-5,58;5,1;-2,44;-1,78;-5,34;-3,29
2023-07;-0,92;-11,5;-2,95;-4,24;4,18;1,02;-1,36
2023-08;2,08;-7,93;-14,45;-8,89;-1,49;-4,46;-2,47
2023-09;2,75;-6,46;-2,49;3,95;-8,28;-5,15;-3,23
2023-10;3,49;-2,03;3,78;2,75;9,39;6,4;4,17
2023-11;3,05;-2,89;9,52;-3,56;17,75;11,39;3,13
2023-12;5,97;11,69;16,63;8,88;3,88;0,45;0,67
2024-01;4,63;9,96;22,34;-5,47;-5,92;-1,09;1,36
2024-02;4,36;6,29;8,78;6,55;0,12;4,74;-0,11
2024-03;1,24;1,92;-5,0;5,88;19,48;3,27;-3,81
2024-04;-2,05;-4,66;-7,61;19,41;7,19;2,49;-2,15
2024-05;0,75;-6,47;12,15;-10,55;16,1;-1,46;-0,41
2024-06;2,18;-3,55;17,67;13,15;-5,19;-5,18;-1,96
2024-07;-0,02;-1,15;-6,42;-29,94;-9,96;-3,04;1,05
2024-08;-1,4;-3,7;-17,7;-16,89;-9,17;-6,98;1,12
2024-09;-0,02;-1,22;-6,77;-3,11;-10,92;-1,36;5,51
2024-10;-0,23;-0,42;0,22;8,78;-12,9;-2,31;8,51
2024-11;-0,04;1,09;0,47;-1,48;2,91;9,33;7,33
2024-12;-0,73;-1,69;-11,61;-5,84;-2,97;5,78;8,57
Total;29,99;-18,980000000000004;16,460000000000004;-15,690000000000003;-22,41;35,42000000000001;14,250000000000005
